abstract,address,author,booktitle,citation_key,copyright,doi,entry_type,file,isbn,issn,journal,language,month,number,pages,publisher,shorttitle,title,url,urldate,volume,year
"Abstract Predicting the occurrence of crop pests is becoming a crucial task in modern agriculture to facilitate farmers’ decision-making. One of the most significant pests is the olive fruit fly, a public concern because it causes damage that compromises oil quality, increasing acidity and altering its flavor. This paper proposes a hybrid deep learning model to predict the presence of olive flies in crops. This model is based on an autoencoder and an automated deep feed-forward neural network. First, the autoencoder neural network learns a representation of the data and then the automated deep feed-forward neural network automatically determines the best values for the hyperparameters in order to obtain the prediction of the number of flies caught in traps from the dataset generated by the autoencoder. On the other hand, farmers to trust the proposed deep learning models need these models to be explainable. Thus, explainable artificial intelligence techniques are applied to the produced models to interpret the results. Results using a dataset from different sources such as satellite image band data, vegetation indices, and meteorological variables are reported. The performance of the proposed model has been compared with classical benchmark algorithms and a deep learning model recently published in the literature. In addition, the comparison includes the automated deep feed-forward neural network individually to show how the autoencoder network improves the accuracy of predictions.",,"Chacón-Maldonado, A. M. and Melgar-García, L. and Asencio-Cortés, G. and Troncoso, A.",,chacon-maldonadoNovelMethodBased2025,,10.1007/s00521-024-10731-z,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\YHALE9D4\\Chacón-Maldonado et al. - 2025 - A novel method based on hybrid deep learning with explainability for olive fruit pest forecasting.pdf:application/pdf,,"0941-0643, 1433-3058",Neural Computing and Applications,en,feb,5,3245--3264,,,A novel method based on hybrid deep learning with explainability for olive fruit pest forecasting,https://link.springer.com/10.1007/s00521-024-10731-z,2026-04-27,37,2025
,,"Jalal, Maddassar and Farooq, Umar and Kaur, Amandeep",,jalalExplainableAIMeets2025a,,10.1007/s10341-025-01478-5,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\PEZ6725B\\Jalal et al. - 2025 - Explainable AI Meets MobileNetV2 A Multi-Branched Approach for Apple Leaf Disease Identification.pdf:application/pdf,,"2948-2623, 2948-2631",Applied Fruit Science,en,aug,4,271,,Explainable AI Meets MobileNetV2,Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,https://link.springer.com/10.1007/s10341-025-01478-5,2026-04-27,67,2025
,,"Al-Falluji, Ruaa A. and Albahar, Marwan Ali",,al-fallujiEnhancingGreenAI2025b,,10.1007/s10791-025-09799-5,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\RGX58RLZ\\Al-Falluji and Albahar - 2025 - Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disea.pdf:application/pdf,,2948-2992,Discover Computing,en,nov,1,269,,,Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,https://link.springer.com/10.1007/s10791-025-09799-5,2026-04-27,28,2025
"Abstract Insect identification is crucial for agriculture, entomology, and ecological monitoring, where accurate pest detection can avoid crop damage and reduce pesticide use. To assure model transparency and dependability, this work suggests an improved method for automated insect categorization that combines explainable artificial intelligence (XAI) techniques with transfer learning. The main goal is to create a high-accuracy, easily deployable classification system with excellent interpretability by utilizing the ResNet152v2 architecture. Nine different classes of insects totaling 4509 photos were gathered and pre-processed for noise reduction, resolution standardization, and data normalization. The ResNet152v2 model was trained, and Grad-CAM (gradient-weighted class activation mapping) was applied to illustrate significant characteristics driving model decisions. With a 96\% classification accuracy, the model proved useful in practical applications, minimizing the need for big labeled datasets while preserving transparency. Using this model in agricultural contexts can help farmers protect crops from pests, use less pesticides, and improve farmland fertility, among other practical uses. This system, which uses a web-based application, is accessible, inexpensive, and simple to use. It provides farmers with timely information so they may take preventive measures against pest infestations. This work contributes significantly to the field by providing a scalable and trustworthy solution for real-time insect identification, laying the groundwork for future AI-driven innovations in sustainable agriculture and ecological monitoring.",,"Hasan, Md Mahmudul and Shaqib, S. M. and Akter, Sharmin and Alo, Alaya Parven and Khushbu, Sharun Akter and Huda, Mohammad Nurul and Ohidujjaman",,hasanTransferLearningApproach2025,,10.1007/s11084-025-09680-x,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\Z7X6JZTF\\Hasan et al. - 2025 - A transfer learning approach to classify insect diversity based on explainable AI.pdf:application/pdf,,2948-2976,Discover Life,en,apr,1,13,,,A transfer learning approach to classify insect diversity based on explainable AI,https://link.springer.com/10.1007/s11084-025-09680-x,2026-04-27,55,2025
,,"Chauhan, Vinita and Dawn, Suma",,chauhanUnveilingCNNXAIApproach2026b,,10.1007/s13198-026-03174-3,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\XI7AIB2E\\Chauhan and Dawn - 2026 - Unveiling CNN-XAI approach in Mango health assessment.pdf:application/pdf,,"0975-6809, 0976-4348",International Journal of System Assurance Engineering and Management,en,mar,,,,,Unveiling CNN-XAI approach in Mango health assessment,https://link.springer.com/10.1007/s13198-026-03174-3,2026-04-27,,2026
,,"Verma, Preeti Raj and Pantola, Deepika and Singh, Navneet Pratap",,vermaPlantDiseaseDetection2025b,,10.1007/s13253-025-00691-9,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\4IENPVP7\\Verma et al. - 2025 - Plant Disease Detection with Transfer Learning Evaluating the Impact of Various Loss Functions and.pdf:application/pdf,,"1085-7117, 1537-2693","Journal of Agricultural, Biological and Environmental Statistics",en,apr,,,,Plant Disease Detection with Transfer Learning,Plant Disease Detection with Transfer Learning: Evaluating the Impact of Various Loss Functions and Explainable AI,https://link.springer.com/10.1007/s13253-025-00691-9,2026-04-27,,2025
,,"Singha Roy, Pritha and Kukreja, Vinay",,singharoyIntegratingVisualEnvironmental2026,,10.1007/s41314-025-00089-y,article,Full Text:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\BF3ZAVPQ\\Singha Roy and Kukreja - 2026 - Integrating Visual and Environmental Modalities for Rice Leaf Diseases Classification and its Severi.pdf:application/pdf,,3059-3336,Journal of Transformative Technologies and Sustainable Development,en,feb,1,1,,,Integrating Visual and Environmental Modalities for Rice Leaf Diseases Classification and its Severity Prediction with Dual-Output CNN,https://link.springer.com/10.1007/s41314-025-00089-y,2026-04-27,10,2026
,,"Zhang, Yu and Yu, Jiayi",,zhangEnhancedMobileNetV2Model2025,,10.1007/s42452-025-08198-1,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\DPIMWQI9\\Zhang and Yu - 2025 - Enhanced MobileNet-V2 model with adaptive attention and cross-layer fusion for fine-grained identifi.pdf:application/pdf,,3004-9261,Discover Applied Sciences,en,dec,2,168,,,Enhanced MobileNet-V2 model with adaptive attention and cross-layer fusion for fine-grained identification of rice diseases and pests for sustainable agriculture,https://link.springer.com/10.1007/s42452-025-08198-1,2026-04-27,8,2025
,,"Sireesha, Nagineni Venkata and Rekha, Gillala and Guntreddi, Venkataramana",,sireeshaInterpretableCitrusDisease2026,,10.1007/s42452-026-08292-y,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\NVCB7HV2\\Sireesha et al. - 2026 - Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep.pdf:application/pdf,,3004-9261,Discover Applied Sciences,en,jan,3,294,,,Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,https://link.springer.com/10.1007/s42452-026-08292-y,2026-04-27,8,2026
,,"Patil, Sanjyot and Kolhar, Shrikrishna",,patilEnhancingPlantStress2026b,,10.1007/s42452-026-08299-5,article,Full Text PDF:C\:\\Users\\kamalesh\\My Drive\\College\\3. PhD\\Zotero\\storage\\LZK6MY9U\\Patil and Kolhar - 2026 - Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with ex.pdf:application/pdf,,3004-9261,Discover Applied Sciences,en,jan,3,295,,,Enhancing plant stress diagnosis using thermal imagery and global context vision transformer with explainable AI approach,https://link.springer.com/10.1007/s42452-026-08299-5,2026-04-27,8,2026
