article_title,extracted_keyword,final_keyword
A lightweight and explainable CNN model for empowering plant disease diagnosis,plant disease recognition,
A lightweight and explainable CNN model for empowering plant disease diagnosis,deep learning,
A lightweight and explainable CNN model for empowering plant disease diagnosis,transfer learning,
A lightweight and explainable CNN model for empowering plant disease diagnosis,precision agriculture,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,rice leaf disease detection,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,lightweight deep learning,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,cross-species generalization,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,early lesion identification,
A lightweight and generalizable deep learning framework for early detection of rice leaf diseases in complex field environments,precision agriculture,
A Multitask Learning-Based Vision Transformer for Plant Disease Localization and Classification,plant disease classification localization vision transformer multi-task learning,
Advanced neural network architectures for tomato leaf disease diagnosis in precision agriculture,hybrid model grad-cam lime techniques architectures vision transformer,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,precision agriculture,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,deep learning,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,iot integration,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,crop disease detection,
AI-driven drone technology and computer vision for early detection of crop disease in large agricultural areas,edge computing,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,papaya leaf disease,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,leaf classification,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,deep learning,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,attention mechanism,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,papayanet,
Attention guided convolutional neural network with explainable AI for papaya leaf disease detection in edge and drone agricultural systems,explainable ai,
Cassava disease detection using a lightweight modified soft attention network,cassava disease detection,
Cassava disease detection using a lightweight modified soft attention network,crop,
Cassava disease detection using a lightweight modified soft attention network,deep learning,
Cassava disease detection using a lightweight modified soft attention network,pest control,
Cassava disease detection using a lightweight modified soft attention network,modified attention,
Cassava disease detection using a lightweight modified soft attention network,lightweight network,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,corn leaf disease,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,deep learning,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,resnet152,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,grad-cam,
Corn leaf disease diagnosis: enhancing accuracy with resnet152 and grad-cam for explainable AI,explainable ai,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,agricultural sustainability,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,deep learning,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,disease detection,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,shapley additive explanations shap,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,pest classification,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,artificial intelligence,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,model explainability,
Deep learning technique for plant disease classification and pest detection and model explainability elevating agricultural sustainability,sustainable development goals,
Evaluation of lightweight and efficient deep learning models for plant disease classification,classification,
Evaluation of lightweight and efficient deep learning models for plant disease classification,deep learning,
Evaluation of lightweight and efficient deep learning models for plant disease classification,lightweight models,
Evaluation of lightweight and efficient deep learning models for plant disease classification,plant disease identification,
Evaluation of lightweight and efficient deep learning models for plant disease classification,precision agriculture,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,hybrid models,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,feature selection,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,pest detection,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,beneficial insects,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,machine learning,
Integrating feature selection and explainable CNN for identification and classification of pests and beneficial insects,agricultural informatics,
Integrating Visual and Environmental Modalities for Rice Leaf Diseases Classification and its Severity Prediction with Dual-Output CNN,rice leaf disease deep learning dual-output cnn environmental modalities severity detection precision agriculture,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,explainable ai,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,grad-cam,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,lime,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,citrus disease diagnosis,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,vision transformers,
Interpretable citrus disease classification through GradCAM++ LIME and vision transformer-based deep learning,model interpretability,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,black gram leaf disease,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,feature extraction,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,transformer,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,convmixer,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,squeeze and excitation se,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,crop disease diagnosis,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,lightweight deep learning,
Lightweight dual-stage feature refinement for black gram leaf disease classification using ConViTSE,feature refinement,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,deep learning,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,pomegranate fruit disease,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,particle swarm optimization,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,genetic algorithm,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,resnet101,
Optimized deep learning framework for pomegranate disease detection using nature-inspired algorithms,computer vision,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,fruits and leaf disease,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,deep learning,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,pre-trained models,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,cbam,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,and optinet-b3,
OptiNet-B3: a lightweight explainable deep learning model for multiclass classification of fruit and leaf diseases,grad-cam,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,plants,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,deep neural networks,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,k-nearest neighbors,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,plant disease classificaiton,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,convolutional neural network,
Robust diagnosis and meta visualizations of plant diseases through deep neural architecture with explainable AI,explainable ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,agricultural monitoring,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,artificial intelligence,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,convnext,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,convolutional neural networks,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,crop safety,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,data augmentation,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,deep learning,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,explainable ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,food safety,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,grad-cam,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,green ai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,lime,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,machine learning,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,multi-class classification,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,precision agriculture,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,resnet50,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,rice disease detection,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,smart agriculture,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,sustainable development,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,vision transformer,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,vit,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,xai,
Enhancing green AI through explainable deep learning-based multi-model for automated rice leaf disease classification,zero hunger,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,agriculture,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,efficientnetb7,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,merged dataset,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,multi-head attention,
Zero-shot segmentation meets EfficientNetB7-MHA: an explainable deep learning framework for real-time plant disease detection,plant disease classification,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,apple leaf disease detection,
Explainable AI Meets MobileNetV2: A Multi-Branched Approach for Apple Leaf Disease Identification,cnn,
