id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
15	agriculture	0.0796	-0.5234	1	25	72	8	2025	8.5	0.6371
23	artificial intelligence	-0.9982	-0.2468	1	24	57	8	2024.75	11.125	1.1772
24	artificial neural network	0.327	-0.4583	2	30	87	11	2025.1818	9.5455	1.0749
25	attention mechanism	0.7522	-0.4858	2	26	51	6	2024.8333	7.6667	0.6133
43	classification	0.5663	0.2985	3	31	134	17	2025.3529	3.6471	0.6146
52	computer vision	-0.2965	-0.3831	1	29	82	11	2025.0909	8.4545	0.8157
57	convolutional neural network	-0.1521	-0.1613	1	32	155	23	2024.9565	8.6087	0.725
60	crop	0.7169	-0.131	2	25	55	7	2025.2857	7	1.8673
72	decision making	-0.58	0.5346	1	23	58	6	2025.3333	1.5	0.2865
74	deep learning	0.0175	0.0434	2	32	256	37	2025.1892	6	0.9703
75	detection	-0.5654	-0.7137	1	21	37	6	2024.5	14.8333	1.1054
76	diagnosis	0.3817	0.9075	3	25	79	9	2025.3333	4	1.4239
86	ensemble learning	-0.1887	0.8878	3	19	41	6	2024.8333	7.5	0.8394
89	explainable ai	-0.4244	0.2125	1	32	200	29	2025.069	7.9655	0.85
90	feature extraction	0.1662	0.5422	3	29	66	8	2025.125	3.5	0.7613
91	feature selection	0.5131	0.856	3	20	32	5	2025.4	4	1.2094
102	fruit	0.6523	-0.3083	2	21	40	6	2025.1667	9.1667	1.0494
109	grad-cam	-0.7663	-0.493	1	26	72	10	2025	9.5	1.0873
121	image classification	0.3994	0.2742	1	25	46	5	2024.8	12.6	0.2764
122	image processing	0.4294	-0.5664	2	26	52	7	2025	9.4286	0.5851
141	leaf	0.8292	-0.0347	2	28	85	10	2025.1	2.9	0.3496
145	lime	-0.8828	0.1821	1	25	65	8	2025.25	3.375	0.6447
149	machine learning	-0.3198	0.3929	3	31	149	19	2025.2105	7.0526	0.8258
151	microbiology	1.0147	-0.4683	2	23	53	7	2025.1429	2.8571	0.5457
159	"neural networks, computer"	1.0465	-0.2002	2	24	52	6	2025.1667	9.1667	1.0494
178	plant	-0.0416	0.667	1	28	94	10	2025.2	4.7	0.4768
181	plant disease	0.0539	-0.205	2	32	271	40	2024.925	10.2	1.0096
182	plant disease classification	0.5197	0.5767	3	28	107	13	2025.0769	5.1538	0.8319
183	plant disease detection	-0.4711	-0.1024	1	31	144	21	2025.0476	7	0.9464
187	precision agriculture	-0.0746	0.3235	3	32	125	17	2025.2353	5.6471	1.235
191	resnet	-1.314	-0.2842	1	16	28	5	2025	6.4	1.2225
216	transfer learning	-0.477	-0.5587	1	29	78	11	2024.6364	12.2727	0.9938
223	vision transformer	-0.9132	-0.374	1	24	69	9	2025.1111	10.1111	0.9169
