Year,Keyword,Count,Display,Article_Count
2024,artificial intelligence,2,artificial intelligence (2),3
2024,detection method,2,detection method (2),3
2024,Transfer learning,2,Transfer learning (2),3
2024,accuracy assessment,1,accuracy assessment (1),3
2024,agricultural modeling,1,agricultural modeling (1),3
2024,agricultural technology,1,agricultural technology (1),3
2024,artificial neural network,1,artificial neural network (1),3
2024,Computer vision,1,Computer vision (1),3
2024,Condition,1,Condition (1),3
2024,Convolution,1,Convolution (1),3
2024,Convolutional neural network,1,Convolutional neural network (1),3
2024,convolutional neural network (CNN),1,convolutional neural network (CNN) (1),3
2024,Convolutional neural networks,1,Convolutional neural networks (1),3
2024,Deep neural networks,1,Deep neural networks (1),3
2024,Detection and localization,1,Detection and localization (1),3
2024,Digital agriculture,1,Digital agriculture (1),3
2024,Disease detection,1,Disease detection (1),3
2024,disease prevalence,1,disease prevalence (1),3
2024,Disease symptoms,1,Disease symptoms (1),3
2024,Diseases,1,Diseases (1),3
2024,Downy mildew,1,Downy mildew (1),3
2024,Ensemble learning,1,Ensemble learning (1),3
2024,Explainable AI,1,Explainable AI (1),3
2024,Explainable artificial intelligence,1,Explainable artificial intelligence (1),3
2024,Fertilizers,1,Fertilizers (1),3
2024,food security,1,food security (1),3
2024,fungal disease,1,fungal disease (1),3
2024,gradient-weighted class activation mapping (GRAD-CAM),1,gradient-weighted class activation mapping (GRAD-CAM) (1),3
2024,image analysis,1,image analysis (1),3
2024,Image augmentation,1,Image augmentation (1),3
2024,Leaf disease,1,Leaf disease (1),3
2024,machine learning,1,machine learning (1),3
2024,Plant disease,1,Plant disease (1),3
2024,plant diseases,1,plant diseases (1),3
2024,pre-trained models,1,pre-trained models (1),3
2024,support vector machine (SVM),1,support vector machine (SVM) (1),3
2024,symptom,1,symptom (1),3
2024,vine,1,vine (1),3
2024,Vision transformer,1,Vision transformer (1),3
2024,Vision transformers,1,Vision transformers (1),3
2025,Deep learning,10,Deep learning (10),17
2025,Explainable AI,8,Explainable AI (8),17
2025,Convolutional neural networks,5,Convolutional neural networks (5),17
2025,Plant disease,5,Plant disease (5),17
2025,Plant diseases,5,Plant diseases (5),17
2025,Precision agriculture,5,Precision agriculture (5),17
2025,Transfer learning,5,Transfer learning (5),17
2025,artificial intelligence,4,artificial intelligence (4),17
2025,Decision making,4,Decision making (4),17
2025,Feature extraction,4,Feature extraction (4),17
2025,Grad-CAM,4,Grad-CAM (4),17
2025,LIME,4,LIME (4),17
2025,Smart agriculture,4,Smart agriculture (4),17
2025,CNN,3,CNN (3),17
2025,convolutional neural network,3,convolutional neural network (3),17
2025,Disease classification,3,Disease classification (3),17
2025,Disease detection,3,Disease detection (3),17
2025,Explainable artificial intelligence,3,Explainable artificial intelligence (3),17
2025,Leaf disease,3,Leaf disease (3),17
2025,Learning systems,3,Learning systems (3),17
2025,Machine learning,3,Machine learning (3),17
2025,Plants (botany),3,Plants (botany) (3),17
2025,Vision transformer,3,Vision transformer (3),17
2025,Agriculture,2,Agriculture (2),17
2025,artificial neural network,2,artificial neural network (2),17
2025,classification,2,classification (2),17
2025,Classification (of information),2,Classification (of information) (2),17
2025,Computer vision,2,Computer vision (2),17
2025,Convolution,2,Convolution (2),17
2025,Convolutional neural networks (CNNs),2,Convolutional neural networks (CNNs) (2),17
2025,Crops,2,Crops (2),17
2025,Diagnosis,2,Diagnosis (2),17
2025,Diseases,2,Diseases (2),17
2025,Ensemble learning,2,Ensemble learning (2),17
2025,MobileNetV2,2,MobileNetV2 (2),17
2025,Sustainable development,2,Sustainable development (2),17
2025,Adaptive particle swarm optimizations,1,Adaptive particle swarm optimizations (1),17
2025,Additives,1,Additives (1),17
2025,Adversarial machine learning,1,Adversarial machine learning (1),17
2025,agricultural land,1,agricultural land (1),17
2025,Agricultural machinery,1,Agricultural machinery (1),17
2025,Agricultural monitoring,1,Agricultural monitoring (1),17
2025,Agricultural robots,1,Agricultural robots (1),17
2025,AI techniques,1,AI techniques (1),17
2025,AlexNet,1,AlexNet (1),17
2025,algorithm,1,algorithm (1),17
2025,alternative agriculture,1,alternative agriculture (1),17
2025,Apple leaf disease detection,1,Apple leaf disease detection (1),17
2025,Automation,1,Automation (1),17
2025,Barium compounds,1,Barium compounds (1),17
2025,biotic stress,1,biotic stress (1),17
2025,Bottle gourd disease classification,1,Bottle gourd disease classification (1),17
2025,Canny,1,Canny (1),17
2025,cat boost classifier,1,cat boost classifier (1),17
2025,Chemical contamination,1,Chemical contamination (1),17
2025,Citrus fruits,1,Citrus fruits (1),17
2025,Classifiers,1,Classifiers (1),17
2025,CNN model,1,CNN model (1),17
2025,Computer,1,Computer (1),17
2025,Contrastive Learning,1,Contrastive Learning (1),17
2025,ConvNet models,1,ConvNet models (1),17
2025,ConvNeXt,1,ConvNeXt (1),17
2025,Convolutional neural network (CNN),1,Convolutional neural network (CNN) (1),17
2025,crop damage,1,crop damage (1),17
2025,Crop disease,1,Crop disease (1),17
2025,Crop protection,1,Crop protection (1),17
2025,Crop safety,1,Crop safety (1),17
2025,Cucumber disease,1,Cucumber disease (1),17
2025,Cucumber disease detection,1,Cucumber disease detection (1),17
2025,Data augmentation,1,Data augmentation (1),17
2025,Data mining,1,Data mining (1),17
2025,DBA-ViNet,1,DBA-ViNet (1),17
2025,Deep neural networks,1,Deep neural networks (1),17
2025,detection method,1,detection method (1),17
2025,disease,1,disease (1),17
2025,edge detection,1,edge detection (1),17
2025,EfficientNetB7,1,EfficientNetB7 (1),17
2025,Explainable artificial intelligence (XAI),1,Explainable artificial intelligence (XAI) (1),17
2025,extraction method,1,extraction method (1),17
2025,Feature selection,1,Feature selection (1),17
2025,Features selection,1,Features selection (1),17
2025,Food safety,1,Food safety (1),17
2025,Food supply,1,Food supply (1),17
2025,Forecasting,1,Forecasting (1),17
2025,Fruit,1,Fruit (1),17
2025,Fruit disease classification,1,Fruit disease classification (1),17
2025,fruit image classification,1,fruit image classification (1),17
2025,Green AI,1,Green AI (1),17
2025,hybrid deep learning,1,hybrid deep learning (1),17
2025,Image classification,1,Image classification (1),17
2025,Image enhancement,1,Image enhancement (1),17
2025,Image segmentation,1,Image segmentation (1),17
2025,ImageNet,1,ImageNet (1),17
2025,Images classification,1,Images classification (1),17
